row,col,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_8,EVI_9,EVI_10,EVI_11,EVI_12,EVI_13,EVI_14,EVI_15,EVI_16,EVI_17,EVI_18,EVI_19,EVI_20,EVI_21,EVI_22,EVI_23,EVI_24,EVI_25,EVI_26,EVI_27,EVI_28,EVI_29,EVI_30,EVI_31,EVI_32,EVI_33,EVI_34,EVI_35,EVI_36,EVI_37,EVI_38,EVI_39,EVI_40,EVI_41,EVI_42,EVI_43,EVI_44,EVI_45,EVI_46
39,2,0.300342,0.300342,0.300342,0.298389,0.296435,0.280023,0.337033,0.293865,0.359496,0.404957,0.450417,0.526637,0.510818,0.599512,0.670105,0.630582,0.474648,0.568247,0.527550,0.178896,0.172833,0.180339,0.187846,0.188210,0.226755,0.306158,0.385561,0.578130,0.618295,0.626180,0.651751,0.677321,0.817225,0.682140,0.491833,0.300640,0.281637,0.274498,0.267359,0.244359,0.221359,0.198359,0.216128,0.222203,0.215168,0.208133
39,3,0.300342,0.300342,0.300342,0.275789,0.251235,0.240291,0.337033,0.270142,0.318590,0.384504,0.450417,0.489415,0.460084,0.599512,0.610882,0.606202,0.474648,0.568247,0.452104,0.188689,0.172724,0.160534,0.148344,0.184596,0.219234,0.284853,0.350472,0.570120,0.592072,0.626180,0.661512,0.696843,0.726811,0.756780,0.491833,0.345027,0.324076,0.304915,0.285754,0.256623,0.227491,0.198359,0.186146,0.177075,0.163103,0.149131
39,4,0.216811,0.216811,0.216811,0.191405,0.165999,0.159046,0.252290,0.270142,0.216572,0.288209,0.359847,0.489415,0.460084,0.470970,0.610882,0.606202,0.488443,0.568247,0.452104,0.188689,0.172724,0.183088,0.193452,0.184596,0.219234,0.348594,0.477954,0.615023,0.666182,0.676402,0.686623,0.696843,0.707849,0.645161,0.582474,0.437781,0.385587,0.335670,0.285754,0.253510,0.221266,0.189022,0.148418,0.161279,0.155205,0.149131
39,5,0.216811,0.216811,0.216811,0.191405,0.165999,0.159046,0.252290,0.270142,0.216572,0.288209,0.359847,0.489415,0.460084,0.470970,0.610882,0.606202,0.488443,0.568247,0.452104,0.188689,0.172724,0.183088,0.193452,0.184596,0.219234,0.348594,0.477954,0.615023,0.666182,0.676402,0.686623,0.696843,0.707849,0.645161,0.582474,0.437781,0.385587,0.335670,0.285754,0.253510,0.221266,0.189022,0.148418,0.161279,0.155205,0.149131
39,6,0.163142,0.163142,0.163142,0.174877,0.186612,0.170144,0.200897,0.231650,0.228260,0.294054,0.359847,0.432851,0.456932,0.580603,0.615591,0.606202,0.523404,0.490824,0.522923,0.192505,0.158960,0.167661,0.176363,0.166151,0.238294,0.361843,0.485393,0.615023,0.666182,0.764105,0.730474,0.696843,0.707849,0.645161,0.582474,0.439071,0.402505,0.365187,0.327869,0.279294,0.230719,0.182143,0.135479,0.158297,0.142432,0.126566
39,10,0.274434,0.274434,0.274434,0.286117,0.297801,0.294813,0.293940,0.293067,0.292194,0.376297,0.460399,0.486333,0.647225,0.647896,0.648567,0.590998,0.525530,0.568797,0.592112,0.226498,0.194900,0.212945,0.230990,0.216742,0.259912,0.370419,0.480926,0.597461,0.630799,0.705122,0.695160,0.685198,0.627239,0.569279,0.527892,0.413522,0.308520,0.218347,0.271264,0.260733,0.248304,0.235876,0.226215,0.260296,0.250144,0.239993
39,11,0.201761,0.201761,0.201761,0.214775,0.227788,0.201477,0.219323,0.237168,0.255013,0.294441,0.333868,0.486333,0.424854,0.492194,0.559535,0.590998,0.480730,0.532638,0.493291,0.229744,0.198926,0.213241,0.227557,0.216742,0.266090,0.361322,0.456554,0.597461,0.630799,0.710473,0.697835,0.685198,0.614892,0.544585,0.527892,0.413522,0.407076,0.244031,0.314234,0.247530,0.222549,0.197567,0.226215,0.260296,0.191149,0.122001
39,13,0.163753,0.163753,0.163753,0.176252,0.149011,0.203180,0.209384,0.215589,0.221793,0.260520,0.299247,0.378721,0.388995,0.421941,0.519782,0.539964,0.461256,0.438171,0.340367,0.202995,0.193667,0.199677,0.205686,0.193469,0.248316,0.342096,0.435875,0.528129,0.591181,0.683391,0.677585,0.671779,0.604724,0.537669,0.541077,0.404658,0.286601,0.245149,0.292683,0.235955,0.212497,0.189040,0.177127,0.169415,0.169415,0.169415
39,14,0.149344,0.149344,0.149344,0.149177,0.149011,0.153136,0.172724,0.176328,0.179931,0.239589,0.299247,0.351256,0.369568,0.391500,0.519782,0.492219,0.464745,0.385986,0.340367,0.202995,0.179092,0.192389,0.205686,0.183892,0.241331,0.335255,0.429180,0.535310,0.624084,0.654814,0.666800,0.678785,0.608227,0.537669,0.541077,0.457717,0.280243,0.230653,0.312949,0.232670,0.194522,0.156375,0.147941,0.131395,0.131395,0.131395
39,15,0.149344,0.149344,0.149344,0.149177,0.149011,0.153136,0.172724,0.176328,0.179931,0.239589,0.299247,0.351256,0.369568,0.391500,0.519782,0.492219,0.464745,0.385986,0.340367,0.202995,0.179092,0.192389,0.205686,0.183892,0.241331,0.335255,0.429180,0.535310,0.624084,0.654814,0.666800,0.678785,0.608227,0.537669,0.541077,0.457717,0.280243,0.230653,0.312949,0.232670,0.194522,0.156375,0.147941,0.131395,0.131395,0.131395
